Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.037276,-0.11211,-1.3696,0,0,0,1584.9,2256.8,-0.00030194,0.00039682,1846.1,-4.069,3789.3,0,0,0,0,0,0,package://excavatorplus/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://excavatorplus/meshes/base_link.STL,,基底_2-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1huizhuantai,-0.033183,-0.98161,-0.29422,0,0,0,4155.4,3529.1,203.56,1.8362,1890.9,99.215,4823.8,0,0,0,0,0,0,package://excavatorplus/meshes/1huizhuantai.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://excavatorplus/meshes/1huizhuantai.STL,,主体_2-1,Origin_joint1,基准轴1,joint1,continuous,-0.037276,-0.092793,0,0,0,-0.38198,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
2dongbi,-5.4753E-15,2.7656,0.58457,0,0,0,1139.2,2254.3,-1.5608E-12,1.039E-12,117.73,110.05,2173.1,0,0,0,0,0,0,package://excavatorplus/meshes/2dongbi.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/2dongbi.STL,,动臂新_2-1,Origin_joint2,基准轴2,joint2,revolute,0,0.1,0,0.3242,0,0,1huizhuantai,1,0,0,100,1,-3.14,3.14,,,,,,,,
3dougan,-6.546E-13,0.8525,0.13673,0,0,0,588.48,532.28,1.0515E-11,-1.0057E-12,30.031,47.289,525.77,0,0,0,0,0,0,package://excavatorplus/meshes/3dougan.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/3dougan.STL,,斗杆新_2-1,Origin_joint3,基准轴3,joint3,revolute,0,5.7,0,-1.528,0,0,2dongbi,-1,0,0,100,1,-3.14,3.14,,,,,,,,
4chandou,0.63243,0.41031,6.167E-07,0,0,0,285.1,135.44,12.871,0.0021992,173.33,-0.0023358,90.525,0,0,0,0,0,0,package://excavatorplus/meshes/4chandou.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/4chandou.STL,,铲斗_2-1,Origin_joint4,基准轴4,joint4,revolute,0,2.925,0,1.5708,1.1799,1.5708,3dougan,0,0,1,100,1,-3.14,3.14,,,,,,,,
10dghuosai,1.4433E-14,-0.80097,6.4985E-13,0,0,0,19.392,8.1302,1.454E-13,-3.4084E-16,0.045791,5.0663E-14,8.1409,0,0,0,0,0,0,package://excavatorplus/meshes/10dghuosai.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/10dghuosai.STL,,斗杆油缸活塞_1-1,Origin_joint10,基准轴10,joint10,revolute,0,-0.81541,0.24,1.5708,-0.17742,-1.5708,3dougan,0,0,-1,100,1,-3.14,3.14,,,,,,,,
11cdgan,-7.142E-08,0.54528,-1.1299E-08,0,0,0,9.5739,2.0123,-2.9462E-07,-5.1743E-08,0.044044,3.6405E-08,2.0155,0,0,0,0,0,0,package://excavatorplus/meshes/11cdgan.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/11cdgan.STL,,铲斗油缸杆_1-1,Origin_joint11,基准轴11,joint11,revolute,0,0.32228,0.52931,1.5708,-1.569,-1.5708,3dougan,0,0,1,100,1,-3.14,3.14,,,,,,,,
12liangan2,-0.3092,1.1351E-09,-1.7838E-07,0,0,0,40.465,0.67185,5.4231E-09,-1.2804E-07,2.673,-3.9415E-07,2.5982,0,0,0,0,0,0,package://excavatorplus/meshes/12liangan2.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/12liangan2.STL,,连杆2_1-1,Origin_joint12,基准轴12,joint12,revolute,0,2.515,0,-1.5708,0.98643,-1.5708,3dougan,0,0,1,100,1,-3.14,3.14,,,,,,,,
13cdhuosai,2.6734E-13,-0.63367,7.5837E-13,0,0,0,15.607,4.1805,3.1987E-14,1.8646E-17,0.036574,8.2347E-14,4.1913,0,0,0,0,0,0,package://excavatorplus/meshes/13cdhuosai.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/13cdhuosai.STL,,铲斗油缸活塞_1-1,Origin_joint13,基准轴13,joint13,revolute,-0.64,0,0,-3.1416,0,-2.5555,12liangan2,0,0,1,100,1,-3.14,3.14,,,,,,,,
14liangan1,-0.33435,-2.337E-08,1.7266E-08,0,0,0,19.143,0.15562,-1.0211E-07,-1.6171E-07,0.91282,8.579E-09,0.88411,0,0,0,0,0,0,package://excavatorplus/meshes/14liangan1.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/14liangan1.STL,,连杆_1-1,Origin_joint14,基准轴14,joint14,revolute,-0.64,0,0,-1.5708,0,-1.6283,12liangan2,0,-1,0,100,1,3.14,3.14,,,,,,,,
7dbrhuosai,3.5527E-15,-0.66744,0.275,0,0,0,11.061,3.4611,2.0499E-14,1.4204E-16,0.021177,-1.6584E-14,3.4707,0,0,0,0,0,0,package://excavatorplus/meshes/7dbrhuosai.STL,1,1,1,1,0,0,0,0,0,0,package://excavatorplus/meshes/7dbrhuosai.STL,,动臂油缸活塞_1-1,Origin_joint7,基准轴7,joint7,revolute,0,2.2642,1.0787,1.5708,0.82448,1.5708,2dongbi,0,0,-1,100,1,-3.14,3.14,,,,,,,,
